Product Name,Total number of comments (backer only),Number of Negative Comment,Number of Neutral Comment,Number of Positive Comment,% of Negative Comment,% of Neutral Comment,% of Positive Comment,Overall Score,Number of creator comment
contour-electric-blue-playing-cards-revive,26,1,6,19,0.04,0.23,0.73,0.515188462,0
goal-journal-a-simple-tool-to-live-happy-enjoyingb,0,0,0,0,0,0,0,0,0
prehistoric-pins,14,1,3,10,0.07,0.21,0.71,0.511764286,6
best-organic-and-artisanal-teas-from-around-the-wo,50,12,7,31,0.24,0.14,0.62,0.211786,0
home-sweet-abode-portraits,0,0,0,0,0,0,0,0,0
senses-in-sucrose-the-art-of-emotions-in-sweet-for,1,0,0,1,0,0,1,0.8249,0
fox-tea-towels,1,0,0,1,0,0,1,0.3182,0
finish-harrison-st-diy,0,0,0,0,0,0,0,0,0
order-of-krampus,23,1,3,19,0.04,0.13,0.83,0.607447826,27
metal-militia-comic,29,1,2,26,0.03,0.07,0.9,0.584724138,21
collective-cuba-project,1,0,0,1,0,0,1,0.8866,0
friends-making-postcard-art-for-your-mailbox,3,0,0,3,0,0,1,0.683533333,0
spooky-mccute-plushie,22,0,1,21,0,0.05,0.95,0.760718182,0
ways-to-be-muslim,6,0,0,6,0,0,1,0.727716667,0
blossoms-of-the-winter-bear-enamel-pin-set,0,0,0,0,0,0,0,0,0
fantasy-erotic-girls-in-real-life,16,2,2,12,0.12,0.12,0.75,0.4391875,0
wristlet-watches-19th-century-watch-reinvented,38,4,6,28,0.11,0.16,0.74,0.450328947,0
freedom-shirt-powerfully-enhanced-superior-comfort,50,0,13,37,0,0.26,0.74,0.474248,0
gecho-loopsynth-a-modern-equivalent-of-the-music-b,50,3,5,42,0.06,0.1,0.84,0.59856,0
the-yowler-a-community-built-diy-noise-synth,16,3,2,11,0.19,0.12,0.69,0.3782125,0
erfworld-bicycle-playing-cards-help-us-celebrate-1,50,10,7,33,0.2,0.14,0.66,0.274304,0
stainless-pocket-tool-relaunch,11,0,3,8,0,0.27,0.73,0.456663636,7
the-breton-weekender,50,15,13,22,0.3,0.26,0.44,0.144096,0
lemonade-dolls,9,0,6,3,0,0.67,0.33,0.195644444,0
the-first-class-hoodie-20-youve-been-upgraded,31,3,4,24,0.1,0.13,0.77,0.447545161,19
zldn-insanely-comfortable-underwear,11,2,4,5,0.18,0.36,0.45,0.204390909,0
ukys-perfect-tailored-shirts-measured-from-your-ph,14,2,1,11,0.14,0.07,0.79,0.525092857,0
colibry-threading-epilator,49,11,9,29,0.22,0.18,0.59,0.192104082,1
illuminati-transport,15,4,5,6,0.27,0.33,0.4,0.085766667,0
titanium-peeler,50,4,11,35,0.08,0.22,0.7,0.509678,0
let-me-draw-your-anime-style-portrait,7,0,1,6,0,0.14,0.86,0.592714286,0
ignition-zero-volumes-1-3-the-complete-comic,0,0,0,0,0,0,0,0,0
catracha-community-artist-residency,2,0,0,2,0,0,1,0.77625,0
all-divine-colors-female-deities-in-practice-and-l,0,0,0,0,0,0,0,0,0
traveller-customizable-card-game,50,16,12,22,0.32,0.24,0.44,0.101002,0
hope-carried-baby-wraps-and-ring-slings-that-empow-0,0,0,0,0,0,0,0,0,0
happy-harpy-hat-pin,0,0,0,0,0,0,0,0,0
the-stratus-estate,2,0,0,2,0,0,1,0.876,0
helleyes-comic,0,0,0,0,0,0,0,0,0
beta,50,12,6,32,0.24,0.12,0.64,0.344708,0
st-evers-sausage-house,2,0,0,2,0,0,1,0.8264,0
positivitea-enamel-pin-badge,8,0,0,8,0,0,1,0.8549875,0
las-cuatro-estaciones-a-story-of-human-trees,1,0,1,0,0,1,0,0,0
a-dam-good-dry-rub,1,0,0,1,0,0,1,0.8687,0
